icao_code,fecha_mes,operaciones_llegada,operaciones_salida,TOQUE Y DESPEGUE,operaciones_otras,operaciones_total,pasajeros_salida,carga_salida_kg,n_destinos_total,n_empresas_salida,n_registros_salida,pasajeros_llegada,carga_llegada_kg,n_origenes_total,n_empresas_llegada,n_registros_llegada,pasajeros_total,carga_total_kg,pasajeros_salida_internacional,pasajeros_salida_nacional,pasajeros_llegada_internacional,pasajeros_llegada_nacional,pasajeros_internacional_total,proporcion_pasajeros_internacional,n_metar_mes,temp_media_c,temp_min_c,temp_max_c,temp_std_c,dewpoint_media_c,humedad_media_pct,viento_medio_kt,viento_max_kt,viento_std_kt,rafaga_max_kt,visibilidad_media_sm,visibilidad_min_sm,visibilidad_std_sm,cloud_base_min_ft,altimeter_media_inhg,prop_lluvia,prop_tormenta,prop_niebla,prop_baja_visibilidad,prop_viento_fuerte,prop_rafaga,prop_ifr_aprox,n_metar_esperados_mes,cobertura_metar_ratio,name,type,municipality,region_name,iata_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,tiene_metar_mes,tiene_od_mes,sin_od_sin_metar_mes,target_operaciones_total_mes_siguiente,target_q33_operaciones,target_q66_operaciones,target_nivel_operacion_mes_siguiente
SKBO,2021-04-01,8724.0,8740.0,0.0,0.0,17464.0,511012.0,42023357.0,410,56,961,533015.0,21030310.0,429,56,934,1044027.0,63053667.0,114894.0,396118.0,102253.0,430762.0,217147.0,0.20798983168059829,748,14.472972972972974,4.000000000000002,31.0,3.2530737956126305,10.19054054054054,77.91710810810817,5.119504685408301,21.38,2.8305278348816283,19.0,6.097651006711444,3.11,0.41574520031909756,100.0,30.338622100955053,0.24732620320855614,0.016042780748663103,0.0106951871657754,0.0,0.0013386880856760374,0.00267379679144385,0.016238159675236806,720.0,1.038888888888889,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,18781.0,2564.0,4971.0,alto
SKBO,2021-05-01,9360.0,9421.0,0.0,0.0,18781.0,572178.0,42373516.0,410,58,995,552905.0,24483439.0,426,57,1007,1125083.0,66856955.0,151169.0,421009.0,120522.0,432383.0,271691.0,0.24148529486269013,784,14.421530479896239,7.000000000000001,25.0,3.1176086810816215,10.669260700389104,80.32303501945523,5.01530612244898,26.0,2.931272422686661,24.0,6.048928571428602,0.25,0.6150034524194696,300.0,30.304031830238827,0.3405612244897959,0.03188775510204082,0.012755102040816327,0.01020408163265306,0.0012755102040816326,0.008928571428571428,0.10492227979274611,744.0,1.053763440860215,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,20202.0,2564.0,4971.0,alto
SKBO,2021-06-01,10077.0,10125.0,0.0,0.0,20202.0,812826.0,35857527.0,391,55,916,756748.0,20433001.0,390,56,888,1569574.0,56290528.0,194928.0,617898.0,160420.0,596328.0,355348.0,0.22639773594618667,746,13.794316644113668,5.0,21.0,3.118425035457589,10.248985115020298,81.1836806495266,5.004032258064516,96.0,4.446025627514902,21.0,5.983887399463828,0.06,0.7862282116071134,100.0,30.32403954802269,0.29892761394101874,0.032171581769437,0.01876675603217158,0.013404825737265416,0.0013440860215053765,0.0013404825737265416,0.043235704323570434,720.0,1.0361111111111112,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,21281.0,2564.0,4971.0,alto
SKBO,2021-07-01,10749.0,10532.0,0.0,0.0,21281.0,864434.0,38813067.0,429,56,1134,883035.0,24175335.0,445,56,1119,1747469.0,62988402.0,210541.0,653893.0,215900.0,667135.0,426441.0,0.24403351361311704,779,13.96883116883117,8.0,21.0,2.9664907808272982,9.322077922077922,75.54374025974046,5.767650834403081,19.0,3.307882771985217,,6.121055341055364,0.5,0.5130271171822682,500.0,30.367698309492837,0.3209242618741977,0.0025673940949935813,0.014120667522464698,0.009009009009009009,0.0,0.0,0.022020725388601035,744.0,1.0470430107526882,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,21528.0,2564.0,4971.0,alto
SKBO,2021-08-01,10889.0,10639.0,0.0,0.0,21528.0,892195.0,32349743.0,442,54,1153,904525.0,22029137.0,455,52,1140,1796720.0,54378880.0,213520.0,678675.0,206278.0,698247.0,419798.0,0.2336468676254508,779,13.891472868217054,7.000000000000001,31.0,3.0261652670852452,9.935400516795866,79.14147286821719,5.312741312741313,19.0,3.5233031049478116,24.0,6.084858611825216,1.24,0.48003811845547323,300.0,30.337624020887837,0.2772785622593068,0.024390243902439025,0.012836970474967908,0.005141388174807198,0.0,0.0025673940949935813,0.04,744.0,1.0470430107526882,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,21094.0,2564.0,4971.0,alto
SKBO,2021-09-01,10696.0,10398.0,0.0,0.0,21094.0,900748.0,39327473.0,436,55,1169,880103.0,24704608.0,454,55,1159,1780851.0,64032081.0,217507.0,683241.0,188041.0,692062.0,405548.0,0.22772708104159192,750,13.670682730923694,4.000000000000002,32.0,3.678972192953412,9.072289156626505,76.3455361930295,5.158666666666667,30.0,3.444800006531904,23.0,6.088217158176973,0.93,0.4945248262582359,400.0,30.339369973190387,0.24266666666666667,0.008,0.013333333333333334,0.004021447721179625,0.0013333333333333333,0.006666666666666667,0.015406162464985995,720.0,1.0416666666666667,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,22542.0,2564.0,4971.0,alto
SKBO,2021-10-01,11369.0,11173.0,0.0,0.0,22542.0,972553.0,40918010.0,378,57,1052,944544.0,26613443.0,392,57,1050,1917097.0,67531453.0,251897.0,720656.0,235044.0,709500.0,486941.0,0.2539991455831395,810,14.118665018541408,4.000000000000002,29.000000000000004,3.5450788925259076,10.587144622991348,81.56301606922149,4.750617283950617,41.0,3.062114422407898,21.0,5.7931683168317,0.06,1.0509825986607124,100.0,30.337794299876187,0.26296296296296295,0.07160493827160494,0.05185185185185185,0.03217821782178218,0.0012345679012345679,0.0012345679012345679,0.0759493670886076,744.0,1.0887096774193548,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,24190.0,2564.0,4971.0,alto
SKBO,2021-11-01,12191.0,11999.0,0.0,0.0,24190.0,1132748.0,32088061.0,425,64,1139,1131148.0,20494179.0,442,62,1132,2263896.0,52582240.0,282112.0,850636.0,273754.0,857394.0,555866.0,0.24553513058903767,811,13.914709517923361,2.9999999999999996,21.0,3.5016111844478663,10.647713226205191,82.86000000000006,4.757125154894672,16.0,3.029302004290789,19.0,5.7023638613861465,0.06,1.2210437898919289,200.0,30.288925925926023,0.2157829839704069,0.06288532675709001,0.08261405672009864,0.04950495049504951,0.0,0.0012330456226880395,0.09973753280839895,720.0,1.1263888888888889,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,25807.0,2564.0,4971.0,alto
SKBO,2021-12-01,12860.0,12947.0,0.0,0.0,25807.0,1293756.0,42317838.0,441,59,1157,1208326.0,27245200.0,441,60,1155,2502082.0,69563038.0,339951.0,953805.0,339810.0,868516.0,679761.0,0.27167814643964505,809,14.405940594059405,5.0,23.000000000000004,3.6665289179625873,10.347772277227723,79.1457178217823,5.014869888475836,16.0,3.041854754759823,17.0,5.942698019802006,0.06,0.7733562881027058,100.0,30.215878712871383,0.12237330037082818,0.013597033374536464,0.07292954264524104,0.013613861386138614,0.0,0.002472187886279357,0.026525198938992044,744.0,1.0873655913978495,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,24557.0,2564.0,4971.0,alto
SKBO,2022-01-01,12407.0,12150.0,0.0,0.0,24557.0,1119325.0,41216938.0,340,60,940,1201165.0,20630246.0,356,60,961,2320490.0,61847184.0,332443.0,786882.0,317102.0,884063.0,649545.0,0.27991717266611793,797,13.789209535759097,2.9999999999999996,25.0,3.9457035984655695,9.05771643663739,76.39052697616074,5.3262233375156836,18.0,3.3735562577834,25.0,6.112638190954805,3.11,0.3387829861383969,500.0,30.271116687578555,0.06148055207026349,0.002509410288582183,0.06775407779171895,0.0,0.0,0.0037641154328732747,0.006587615283267457,744.0,1.071236559139785,El Dorado International Airport,large_airport,Bogota,Bogotá Capital District,BOG,4.70159,-74.1469,8361,1,1,1,0,22734.0,2564.0,4971.0,alto
